data;url;url2;lieu;text;source
08/12/15;https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/;https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/;Francia;Venticinquenne sudanese accoltellato a morte nella jungle di Calais. Secondo uno studio di Calais Migrant Solidariry sono 78 i viaggiatori che hanno perso la vita a Calais dal 2002, tentando di eludere i controlli e raggiungere la Gran Bretagna attraverso l'Eurotunnel, nascosti nei camion, sotto i bus o sopra i treni;Repubblica
08/12/15;http://www.repubblica.it/esteri/2015/12/09/news/migranti_naufragio_grecia-129080154/;http://www.repubblica.it/esteri/2015/12/09/news/migranti_naufragio_grecia-129080154/;Turchia;6 bambini afghani, tra cui un neonato, sono morti nel naufragio di un gommone al largo di Cesme, nella provincia di Izmir, sulla rotta per l'isola greca di Chios. Continuano le ricerche di 2 dispersi;Repubblica
08/12/15;http://www.repubblica.it/esteri/2015/12/08/news/migranti_naufragio_al_largo_della_turchia_6_bambini_morti-129024370;http://www.repubblica.it/esteri/2015/12/08/news/migranti_naufragio_al_largo_della_turchia_6_bambini_morti-129024370;Turchia;Il corpo di una bimba siriana di 5 anni è stato ritrovato sulla spiaggia di Pirlanta, a Cesme (Izmir). La piccola, identificata come Sajida Ali, sarebbe annegata in un naufragio di alcuni giorni fa;Repubblica
08/12/15;http://www.efe.com/efe/espana/sociedad/mueren-once-inmigrantes-al-naufragar-una-patera-que-buscaba-salvamento/10004-2784312;http://www.efe.com/efe/espana/sociedad/mueren-once-inmigrantes-al-naufragar-una-patera-que-buscaba-salvamento/10004-2784312;Marocco;Salpata da Bojador, nel Sahara Occidentale, una imbarcazione è affondata nel mare in tempesta sulla rotta del contrabbando per le isole Canarie provocando 11 morti e 28 dispersi;EFE
05/12/15;http://www.ekathimerini.com/204075/article/ekathimerini/news/syrian-teenager-found-dead-in-trench-near-border;http://www.ekathimerini.com/204075/article/ekathimerini/news/syrian-teenager-found-dead-in-trench-near-border;Grecia;Ritrovato il corpo senza vita di un diciottenne siriano annegato in un canale lungo il fiume Evros, alla frontiera tra Turchia e Grecia;Ekathimerini
02/12/15;https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/;https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/;Francia;Un cittadino sudanese muore investito da un'auto sull'autostrada a Calais, nei pressi del terminal dell'Eurotunnel;Calais Migrant Solidarity
03/12/15;http://www.20minutos.es/noticia/2348198/0/detenidos-robar/asesinar-borda-patera/inmigrantes/;http://www.20minutos.es/noticia/2348198/0/detenidos-robar/asesinar-borda-patera/inmigrantes/;Spagna;Intercettata davanti alle coste di Almeria un'imbarcazione alla deriva dopo una notte di tempesta. A bordo solo 29 superstiti dei 50 passeggeri salpati da Nador il giorno prima. Dieci delle 21 vittime sono state buttate in mare durante una rissa a bordo. I due responsabili degli omicidi sono stati arrestati e processati dalle autorità spagnole;20 Minutos
03/12/15;http://www.dailymail.co.uk/news/article-3344513/Moroccan-electrocuted-climbing-train-carriage-Greece-s-border-Macedonia-stopped-allowing-economic-migrants-entering-country.html;http://www.dailymail.co.uk/news/article-3344513/Moroccan-electrocuted-climbing-train-carriage-Greece-s-border-Macedonia-stopped-allowing-economic-migrants-entering-country.html;Grecia;Ventiduenne muore per una scarica elettrica tentando di arrampicarsi sul tetto di un treno per passare la frontiera tra Grecia e Macedonia;Daily Mail
02/12/15;https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/;https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/;Francia;Un cittaino etiope muore investito da un'auto sull'autostrada a Calais, nei pressi del terminal dell'Eurotunnel;Calais Migrant Solidarity
01/12/15;http://www.eldiario.es/desalambre/Denuncian-inmigrantes-subsaharianos-asfixiados-Castillejos_0_458104736.html;http://www.eldiario.es/desalambre/Denuncian-inmigrantes-subsaharianos-asfixiados-Castillejos_0_458104736.html;Marocco;Le Forze Ausiliarie marocchine lanciano una retata contro i viaggiatori africani accampati a Fnideq (Castillejos) in attesa di assaltare il muro della frontiera di Ceuta. Durante l'operazione di polizia perdono la vita due giovani camerunesi;El Diario
